artist_id,name,followers,popularity,genres,main_genre
6Cqtx9fpxzggIMuKn0RGCp,Dream Supplier,13878,85,"sleep, white noise, rain, binaural, lullaby, color noise, ocean","Easy Listening, Electronic, New Age, Rock"
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,45674032,91,"hip hop, west coast hip hop",Hip Hop
250b0Wlc5Vk0CoUsaCY84M,JENNIE,13013134,83,k-pop,Pop
6zO1dZ40fTZ5hY9NnnRJSk,yung kai,2117767,71,"k-pop, nyc pop, sped up, chill r&b, gen z singer-songwriter, pov: indie, bedroom r&b, toronto indie, alt z, bedroom pop","Electronic, Pop, R&B, Rock"
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",25263506,88,"hip hop, rap",Hip Hop
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,3660362,78,"neo mellow, permanent wave, pop rock, post-grunge","Pop, Rock"
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,8072982,84,alt z,Pop
2YRyPiW98bpkARAS4B3OQP,Dei V,2440739,81,"trap latino, urbano latino",Latin
7tYKF4w9nC0nq9CsPZTHyP,SZA,34096826,90,r&b,R&B
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,9773372,85,colombian pop,Pop
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,32801447,87,"indie, garage rock",Rock
4QFG9KrGWEbr6hNA58CAqE,Alemán,6813156,79,"mexican hip hop, latin hip hop, electro corridos","Hip Hop, Latin"
22wbnEMDvgVIAGdFeek6ET,Benson Boone,7453323,85,singer-songwriter pop,Pop
6pV5zH2LzjOUHaAvENdMMa,Neton Vega,4983004,87,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico","Latin, Traditional Music"
3TVXtAsR1Inumwj472S9r4,Drake,105373671,98,rap,Hip Hop
3E12tRURRvPfHz0hAMCFYc,Omar Courtz,2296790,84,"trap boricua, trap latino, urbano latino",Latin
790FomKkXshlbRYZFtlgla,KAROL G,61723613,89,"reggaeton, latin, urbano latino",Latin
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,6021152,86,"brostep, progressive electro house, uk pop, edm, alt z, pop, singer-songwriter pop, dance pop, soft pop, pop soul","Electronic, Pop, R&B"
1iCnM8foFssWlPRLfAbIwo,Gigi Perez,1826438,78,bedroom pop,Pop
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,15493416,89,rage rap,Hip Hop
48zEowASEXWsK6lgP1xotZ,Baby Sleeps,7737,28,native american music,
0fTSzq9jAh4c36UVb4V7CB,Alex Warren,3320112,86,"gen z singer-songwriter, singer-songwriter pop",Pop
3eVa5w3URK5duf6eyVDbu9,ROSÉ,13854046,81,k-pop,Pop
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,21657404,92,"corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño, banda, sad sierreño, electro corridos","Latin, Traditional Music"
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,7786531,86,"cumbia norteña, banda, norteño, música mexicana, corrido, corridos tumbados, grupera, tejano, ranchera","Latin, Traditional Music"
7nixcnKd43u9a29ZMawfnh,Background White Noise,3483,41,white noise,New Age
7a0XAaPaK2aDSqa8p3QnC7,Beéle,3766268,89,"latin afrobeats, reggaeton, pop urbano","Latin, Pop"
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,2241099,78,"indie folk, stomp and holler","Folk, Rock"
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,77355363,92,"dance pop, pop",Pop
1pBLC0qVRTB5zVMuteQ9jJ,Lily-Rose Depp,661252,76,pop,Pop
1jiZvw42D4oquLl24x2VWV,Lefty Gunplay,83573,69,mexican hip hop,Hip Hop
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,28273516,93,pop,Pop
4E2rKHVDssGJm2SCDOMMJB,Doechii,3301233,78,alternative r&b,R&B
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,43713096,90,"art pop, pop",Pop
4q3ewBCX7sLwd24euuV69X,Bad Bunny,105635803,99,"reggaeton, trap latino, urbano latino, latin",Latin
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,22184807,86,"modern alternative rock, modern rock, pop","Pop, Rock"
67FB4n52MgexGQIG8s0yUH,Lola Young,1550451,78,uk pop,Pop
3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums,1553619,84,reggaeton,Latin
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,7618878,83,"indie pop, pov: indie",Rock
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,61853007,91,"permanent wave, pop","Pop, Rock"
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,116219359,96,"canadian contemporary r&b, canadian pop, pop","Pop, R&B"
5eumcnUkdmGvkvcsx1WFNG,Tito Double P,12606001,88,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana","Latin, Traditional Music"
6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,6435833,82,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, sierreño, electro corridos, banda","Latin, Traditional Music"
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,121278701,93,"art pop, pop",Pop
06HL4z0CvFAxyc27GXpf02,Taylor Swift,148838440,100,pop,Pop
5bQ3wFgekuIMIcWJuxkqLK,Chrystal,100350,72,uk alternative pop,Pop
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,124012436,91,soft pop,Pop
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,10400688,81,"melodic rap, rap",Hip Hop
1uRVM0wBdtyEuU582EeKJM,NOTION,167480,75,"bassline, bass house, uk garage, drum and bass",Electronic
2OFij1ppCwYFCOTq7vzafi,bees & honey,51722,73,"gauze pop, afro house, melodic house, uk pop, house, alternative r&b, pop dance, afro tech, pop, dance pop","Electronic, Pop, R&B"
4Gso3d4CscCijv0lmajZWs,Don Toliver,7824322,87,rap,Hip Hop
45dkTj5sMRSjrmBSBeiHym,Tate McRae,9889104,91,pop,Pop
3DeOmVSmpv7WknXoo1OS8p,Alleh,405926,75,"latin afrobeats, pop urbano, reggaeton chileno, reggaeton, chilean trap, urbano latino, chilean mambo, trap latino, latin, colombian pop","Hip Hop, Latin, Pop"
3ebS2RuCq8QeLyndUDmgB5,WizTheMc,254733,74,"canadian contemporary r&b, pop rap","Pop, R&B"
7jAs1uPnpfNmT6e5qtEPxq,ATL Jacob,142368,68,"latin afrobeats, pop venezolano, reggaeton, reggaeton colombiano, urbano latino, reggaeton flow, latin, latin pop, trap latino, colombian pop","Latin, Pop"
6EPlBSH2RSiettczlz7ihV,Sleepy Hallow,2594960,72,"brooklyn drill, new york drill",Hip Hop
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,40535344,85,"boy band, pop, post-teen pop, talent show",Pop
2sSGPbdZJkaSE2AbcGOACx,The Marías,4176690,85,bedroom pop,Pop
4eq1q0o9XPyNq9RG3fNDD1,Yorghaki,237768,75,pop venezolano,Pop
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,11041796,83,"french house, electronic, electro",Electronic
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,21508575,82,pop,Pop
5p9HO3XC5P3BLxJs5Mtrhm,Djo,2951130,80,"pov: indie, psychedelic pop",Rock
2LRoIwlKmHjgvigdNGBHNo,Feid,19343943,88,"reggaeton, urbano latino",Latin
5uwa6tAMMfNbBFIHiI6NV4,W Sound,895521,76,reggaeton,Latin
1oSPZhvZMIrWW5I41kPkkY,Jimin,11021540,80,k-pop,Pop
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,32021811,90,"reggaeton, urbano latino, trap latino, latin",Latin
6Xb4ezwoAQC4516kI89nWz,Imogen Heap,1187520,77,"etherpop, metropopolis",Pop
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,14585764,88,"art rock, alternative rock",Rock
0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,9572356,83,"corrido, corridos bélicos, corridos tumbados, electro corridos, dembow belico, banda, sierreño, sad sierreño, música mexicana","Latin, Traditional Music"
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,24933053,90,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda","Latin, Traditional Music"
0elWFr7TW8piilVRYJUe4P,Natanael Cano,22465537,86,"corridos tumbados, corrido, corridos bélicos, sierreño, sad sierreño, electro corridos, música mexicana, banda","Latin, Traditional Music"
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,27333125,87,"bachata, latin",Latin
6wF1Cz760dpdbX9RJIDpQW,Chuwi,262448,68,puerto rican rock,Rock
5NGO30tJxFlKixkPSgXcFE,The Police,7785798,80,"album rock, classic rock, permanent wave, rock",Rock
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,7595269,84,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, sad sierreño, sierreño","Latin, Traditional Music"
1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,17970164,86,dream pop,Rock
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,10577109,85,"dark r&b, r&b, trap soul",R&B
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,108715805,96,pop,Pop
0C0XlULifJtAgn6ZNCW2eu,The Killers,8144006,79,alternative rock,Rock
5c8ZR64evQ00Spl73s76fo,Chuyin,1642651,73,"corrido, corridos tumbados, corridos bélicos",Traditional Music
70kkdajctXSbqSMJbQO424,Kacey Musgraves,1632333,76,"classic texas country, contemporary country, country dawn",Country
1ruutHJcECI7cos2n5TqpO,Nayer,35966,71,"deep dance pop, latin dance","Latin, Pop"
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,14337355,85,"classic rock, yacht rock, soft rock",Rock
3UTF2no3muGdiFXVujl94i,Kapo,1187602,80,latin afrobeats,Latin
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,42031792,91,rap,Hip Hop
027TpXKGwdXP7iwbjUSpV8,The Walters,1088058,71,"chicago indie, pov: indie",Rock
1WaFQSHVGZQJTbf0BdxdNo,Tommy Richman,964921,71,chill abstract hip hop,Hip Hop
1ooV8YZC1KbpEcrmI8WH0F,Yebba,822426,73,pop soul,R&B
2uYWxilOVlUdk4oV9DvwqK,Mitski,11247977,81,"brooklyn indie, pov: indie",Rock
6LuN9FCkKOj5PcnpouEgny,Khalid,17053775,83,"pop, pop r&b","Pop, R&B"
7CvTknweLr9feJtRGrpDBy,FloyyMenor,2302365,78,reggaeton chileno,Latin
6KImCVD70vtIoJWnq6nGn3,Harry Styles,34411820,83,pop,Pop
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,26862253,83,pop,Pop
1Z8ODXyhEBi3WynYw0Rya6,De La Soul,1212726,75,"jazz rap, east coast hip hop","Hip Hop, Jazz"
1RyvyyTE3xzB2ZywiAwp0i,Future,23212607,91,rap,Hip Hop
26VFTg2z8YR0cCuwLzESi2,Halsey,22577368,83,"electropop, etherpop, indie poptimism, pop","Pop, Rock"
0Y6dVaC9DZtPNH4591M42W,TV Girl,13144329,83,pov: indie,Rock
0b1sIQumIAsNbqAoIClSpy,j-hope,19557407,80,"k-pop, k-rap","Hip Hop, Pop"
360IAlyVv4PCEVjgyMZrxK,Miguel,6275132,81,r&b,R&B
55Aa2cqylxrFIXC767Z865,Lil Wayne,18383952,88,"rap, hip hop",Hip Hop
4D75GcNG95ebPtNvoNVXhz,AFROJACK,4062637,75,"edm, big room",Electronic
2qoQgPAilErOKCwE2Y8wOG,GloRilla,2704737,78,southern hip hop,Hip Hop
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,6727780,81,australian hip hop,Hip Hop
5y8tKLUfMvliMe8IKamR32,d4vd,4807707,79,"bedroom pop, bedroom r&b","Pop, R&B"
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,20893082,86,"lgbtq+ hip hop, neo soul","Hip Hop, R&B"
0TnOYISbd1XYRBk9myaseg,Pitbull,12192676,86,"dance pop, miami hip hop, pop","Hip Hop, Pop"
7dGJo4pcD2V6oG8kP0tJRR,Eminem,106214551,91,"rap, hip hop",Hip Hop
7cYEt1pqMgXJdq00hAwVpT,Chase Atlantic,10770489,82,alternative r&b,R&B
6fqjJNsLs7g6F3PXy01Xnw,AZ Chike,165147,63,hyphy,Hip Hop
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,12006791,86,rap,Hip Hop
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,32633134,90,"nu metal, rap metal, rock, alternative metal","Metal, Rock"
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,14507317,90,country,Country
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,7553939,87,"country, red dirt",Country
3bO19AOone0ubCsfDXDtYt,Myles Smith,1402671,76,singer-songwriter pop,Pop
1Yj5Xey7kTwvZla8sqdsdE,Cris MJ,7346745,83,"reggaeton chileno, chilean trap, chilean mambo, reggaeton","Hip Hop, Latin"
6dLuQ5qXxIuWc5urxfIiZR,Calle 24,3067830,79,"corrido, corridos tumbados, corridos bélicos, electro corridos, sad sierreño","Latin, Traditional Music"
1EmdfupUQDpXOcb4Nj2mBH,Chezile,346860,69,"indie folk, indie, modern dream pop, pov: indie, dreamo, indie quebecois, dream pop, art pop, pop, bedroom pop","Pop, Rock"
